Index,Date,Highway Vehicle Miles Traveled - All Systems,Highway Vehicle Miles Traveled - Total Rural,Highway Vehicle Miles Traveled - Other Rural,Highway Vehicle Miles Traveled - Rural Other Arterial,Highway Vehicle Miles Traveled - Rural Interstate
533,6/1/1991 0:00,,,,,
534,7/1/1991 0:00,,,,,
535,8/1/1991 0:00,,,,,
536,9/1/1991 0:00,,,,,
537,10/1/1991 0:00,,,,,
538,11/1/1991 0:00,,,,,
539,12/1/1991 0:00,,,,,
540,1/1/1992 0:00,,,,,
541,2/1/1992 0:00,,,,,
542,3/1/1992 0:00,,,,,
543,4/1/1992 0:00,,,,,
544,5/1/1992 0:00,,,,,
545,6/1/1992 0:00,,,,,
546,7/1/1992 0:00,,,,,
547,8/1/1992 0:00,,,,,
548,9/1/1992 0:00,,,,,
549,10/1/1992 0:00,,,,,
550,11/1/1992 0:00,,,,,
551,12/1/1992 0:00,,,,,
552,1/1/1993 0:00,,,,,
553,2/1/1993 0:00,,,,,
554,3/1/1993 0:00,,,,,
555,4/1/1993 0:00,,,,,
556,5/1/1993 0:00,,,,,
557,6/1/1993 0:00,,,,,
558,7/1/1993 0:00,,,,,
559,8/1/1993 0:00,,,,,
560,9/1/1993 0:00,,,,,
561,10/1/1993 0:00,,,,,
562,11/1/1993 0:00,,,,,
563,12/1/1993 0:00,,,,,
564,1/1/1994 0:00,,,,,
565,2/1/1994 0:00,,,,,
566,3/1/1994 0:00,,,,,
567,4/1/1994 0:00,,,,,
568,5/1/1994 0:00,,,,,
569,6/1/1994 0:00,,,,,
570,7/1/1994 0:00,,,,,
571,8/1/1994 0:00,,,,,
572,9/1/1994 0:00,,,,,
573,10/1/1994 0:00,,,,,
574,11/1/1994 0:00,,,,,
575,12/1/1994 0:00,,,,,
576,1/1/1995 0:00,,,,,
577,2/1/1995 0:00,,,,,
578,3/1/1995 0:00,,,,,
579,4/1/1995 0:00,,,,,
580,5/1/1995 0:00,,,,,
581,6/1/1995 0:00,,,,,
582,7/1/1995 0:00,,,,,
583,8/1/1995 0:00,,,,,
584,9/1/1995 0:00,,,,,
585,10/1/1995 0:00,,,,,
586,11/1/1995 0:00,,,,,
587,12/1/1995 0:00,,,,,
588,1/1/1996 0:00,,,,,
589,2/1/1996 0:00,,,,,
590,3/1/1996 0:00,,,,,
591,4/1/1996 0:00,,,,,
592,5/1/1996 0:00,,,,,
593,6/1/1996 0:00,,,,,
594,7/1/1996 0:00,,,,,
595,8/1/1996 0:00,,,,,
596,9/1/1996 0:00,,,,,
597,10/1/1996 0:00,,,,,
598,11/1/1996 0:00,,,,,
599,12/1/1996 0:00,,,,,
600,1/1/1997 0:00,,,,,
601,2/1/1997 0:00,,,,,
602,3/1/1997 0:00,,,,,
603,4/1/1997 0:00,,,,,
604,5/1/1997 0:00,,,,,
605,6/1/1997 0:00,,,,,
606,7/1/1997 0:00,,,,,
607,8/1/1997 0:00,,,,,
608,9/1/1997 0:00,,,,,
609,10/1/1997 0:00,,,,,
610,11/1/1997 0:00,,,,,
611,12/1/1997 0:00,,,,,
612,1/1/1998 0:00,,,,,
613,2/1/1998 0:00,,,,,
614,3/1/1998 0:00,,,,,
615,4/1/1998 0:00,,,,,
616,5/1/1998 0:00,,,,,
617,6/1/1998 0:00,,,,,
618,7/1/1998 0:00,,,,,
619,8/1/1998 0:00,,,,,
620,9/1/1998 0:00,,,,,
621,10/1/1998 0:00,,,,,
622,11/1/1998 0:00,,,,,
623,12/1/1998 0:00,,,,,
624,1/1/1999 0:00,,,,,
625,2/1/1999 0:00,,,,,
626,3/1/1999 0:00,,,,,
627,4/1/1999 0:00,,,,,
628,5/1/1999 0:00,,,,,
629,6/1/1999 0:00,,,,,
630,7/1/1999 0:00,,,,,
631,8/1/1999 0:00,,,,,
632,9/1/1999 0:00,,,,,
633,10/1/1999 0:00,,,,,
634,11/1/1999 0:00,,,,,
635,12/1/1999 0:00,,,,,
636,1/1/2000 0:00,,,,,
637,2/1/2000 0:00,,,,,
638,3/1/2000 0:00,,,,,
639,4/1/2000 0:00,,,,,
640,5/1/2000 0:00,,,,,
641,6/1/2000 0:00,,,,,
642,7/1/2000 0:00,,,,,
643,8/1/2000 0:00,,,,,
644,9/1/2000 0:00,,,,,
645,10/1/2000 0:00,,,,,
646,11/1/2000 0:00,,,,,
647,12/1/2000 0:00,,,,,
648,1/1/2001 0:00,,,,,
649,2/1/2001 0:00,,,,,
650,3/1/2001 0:00,,,,,
651,4/1/2001 0:00,,,,,
652,5/1/2001 0:00,,,,,
653,6/1/2001 0:00,,,,,
654,7/1/2001 0:00,,,,,
655,8/1/2001 0:00,,,,,
656,9/1/2001 0:00,,,,,
657,10/1/2001 0:00,,,,,
658,11/1/2001 0:00,,,,,
659,12/1/2001 0:00,,,,,
660,1/1/2002 0:00,,,,,
661,2/1/2002 0:00,,,,,
662,3/1/2002 0:00,,,,,
663,4/1/2002 0:00,,,,,
664,5/1/2002 0:00,,,,,
665,6/1/2002 0:00,,,,,
666,7/1/2002 0:00,,,,,
667,8/1/2002 0:00,,,,,
668,9/1/2002 0:00,,,,,
669,10/1/2002 0:00,,,,,
670,11/1/2002 0:00,,,,,
671,12/1/2002 0:00,,,,,
672,1/1/2003 0:00,,,,,
673,2/1/2003 0:00,,,,,
674,3/1/2003 0:00,,,,,
675,4/1/2003 0:00,,,,,
676,5/1/2003 0:00,,,,,
677,6/1/2003 0:00,,,,,
678,7/1/2003 0:00,,,,,
679,8/1/2003 0:00,,,,,
680,9/1/2003 0:00,,,,,
681,10/1/2003 0:00,,,,,
682,11/1/2003 0:00,,,,,
683,12/1/2003 0:00,,,,,
684,1/1/2004 0:00,,,,,
685,2/1/2004 0:00,,,,,
686,3/1/2004 0:00,,,,,
687,4/1/2004 0:00,,,,,
688,5/1/2004 0:00,,,,,
689,6/1/2004 0:00,,,,,
690,7/1/2004 0:00,,,,,
691,8/1/2004 0:00,,,,,
692,9/1/2004 0:00,,,,,
693,10/1/2004 0:00,,,,,
694,11/1/2004 0:00,,,,,
695,12/1/2004 0:00,,,,,
696,1/1/2005 0:00,,,,,
697,2/1/2005 0:00,,,,,
698,3/1/2005 0:00,,,,,
699,4/1/2005 0:00,,,,,
700,5/1/2005 0:00,,,,,
701,6/1/2005 0:00,,,,,
702,7/1/2005 0:00,,,,,
703,8/1/2005 0:00,,,,,
704,9/1/2005 0:00,,,,,
705,10/1/2005 0:00,,,,,
706,11/1/2005 0:00,,,,,
707,12/1/2005 0:00,,,,,
708,1/1/2006 0:00,,,,,
709,2/1/2006 0:00,,,,,
710,3/1/2006 0:00,,,,,
711,4/1/2006 0:00,,,,,
712,5/1/2006 0:00,,,,,
713,6/1/2006 0:00,,,,,
714,7/1/2006 0:00,,,,,
715,8/1/2006 0:00,,,,,
716,9/1/2006 0:00,,,,,
717,10/1/2006 0:00,,,,,
718,11/1/2006 0:00,,,,,
719,12/1/2006 0:00,,,,,
720,1/1/2007 0:00,,,,,
721,2/1/2007 0:00,,,,,
722,3/1/2007 0:00,,,,,
723,4/1/2007 0:00,,,,,
724,5/1/2007 0:00,,,,,
725,6/1/2007 0:00,,,,,
726,7/1/2007 0:00,,,,,
727,8/1/2007 0:00,,,,,
728,9/1/2007 0:00,,,,,
729,10/1/2007 0:00,,,,,
730,11/1/2007 0:00,,,,,
731,12/1/2007 0:00,,,,,
883,8/1/2020 0:00,,,,,
882,7/1/2020 0:00,,,,,
881,6/1/2020 0:00,,,,,
880,5/1/2020 0:00,,,,,
879,4/1/2020 0:00,,,,,
878,3/1/2020 0:00,,,,,
877,2/1/2020 0:00,,,,,
876,1/1/2020 0:00,,,,,
875,12/1/2019 0:00,2.74E+11,80395000000,27483000000,31257000000,21654000000
874,11/1/2019 0:00,2.60E+11,77563000000,26809000000,30302000000,20452000000
873,10/1/2019 0:00,2.84E+11,86765000000,30402000000,33957000000,22406000000
872,9/1/2019 0:00,2.72E+11,83642000000,29248000000,32912000000,21482000000
